No,InChI,SMILES,RT_220,k,lnk
4h,"InChI=1S/C17H13FN2O/c18-16-8-7-15(11-19-16)20-17(21)10-12-5-6-13-3-1-2-4-14(13)9-12/h1-9,11H,10H2,(H,20,21)",c1c(ccc(F)n1)NC(=O)Cc1ccc2c(c1)cccc2,260.40000000000003,5.542713567839197,1.7124841945290104
5a,"InChI=1S/C18H20ClNO2/c1-11(2)13-6-5-12(3)17(9-13)20-18(21)15-10-14(22-4)7-8-16(15)19/h5-11H,1-4H3,(H,20,21)",CC(C)c1ccc(C)c(c1)NC(=O)c1cc(OC)ccc1Cl,149.20000000000002,2.7487437185929657,1.011143977697489
5b,"InChI=1S/C14H13ClN2O3/c1-19-9-6-7-11(15)10(8-9)14(18)17-12-4-3-5-13(16-12)20-2/h3-8H,1-2H3,(H,16,17,18)",C(c1cc(ccc1Cl)OC)(=O)Nc1cccc(OC)n1,150.6,2.78391959798995,1.0238598620227914
5c,"InChI=1S/C13H18ClNO2/c1-8(2)9(3)15-13(16)11-7-10(17-4)5-6-12(11)14/h5-9H,1-4H3,(H,15,16)",CC(C)C(NC(c1cc(ccc1Cl)OC)=O)C,78.80000000000001,0.9798994974874377,-0.020305266160745114
5d,"InChI=1S/C19H20ClNO4/c1-19(2,3)25-18(23)12-5-7-13(8-6-12)21-17(22)15-11-14(24-4)9-10-16(15)20/h5-11H,1-4H3,(H,21,22)",CC(C)(C)OC(=O)c1ccc(cc1)NC(c1cc(OC)ccc1Cl)=O,221.20000000000002,4.557788944723619,1.5168376253906444
5e,"InChI=1S/C17H18ClNO3/c1-21-14-7-8-16(18)15(11-14)17(20)19-9-10-22-12-13-5-3-2-4-6-13/h2-8,11H,9-10,12H2,1H3,(H,19,20)",c1cc(ccc1)COCCNC(c1cc(OC)ccc1Cl)=O,149.4,2.753768844221106,1.0129704622235234
5f,"InChI=1S/C19H16ClNO2/c1-23-15-9-10-18(20)17(11-15)19(22)21-12-14-7-4-6-13-5-2-3-8-16(13)14/h2-11H,12H2,1H3,(H,21,22)",c12ccccc1c(CNC(c1cc(ccc1Cl)OC)=O)ccc2,404.8,9.170854271356784,2.2160304412920997
5g,"InChI=1S/C20H16ClNO3/c1-24-17-11-12-19(21)18(13-17)20(23)22-14-7-9-16(10-8-14)25-15-5-3-2-4-6-15/h2-13H,1H3,(H,22,23)",c1cc(ccc1Oc1ccccc1)NC(c1cc(ccc1Cl)OC)=O,503.20000000000005,11.643216080402011,2.454723699707884
5h,"InChI=1S/C13H10ClFN2O2/c1-19-9-3-4-11(14)10(6-9)13(18)17-8-2-5-12(15)16-7-8/h2-7H,1H3,(H,17,18)",n1c(ccc(NC(c2c(Cl)ccc(OC)c2)=O)c1)F,185.60000000000002,3.6633165829145735,1.298368907284166
6a,"InChI=1S/C19H31NO/c1-6-7-8-15(4)9-12-19(21)20-18-13-17(14(2)3)11-10-16(18)5/h10-11,13-15H,6-9,12H2,1-5H3,(H,20,21)",CC(C)c1cc(c(C)cc1)NC(=O)CCC(C)CCCC,81.60000000000001,1.0502512562814075,0.04902942724031903
6b,"InChI=1S/C15H24N2O2/c1-4-5-7-12(2)10-11-14(18)16-13-8-6-9-15(17-13)19-3/h6,8-9,12H,4-5,7,10-11H2,1-3H3,(H,16,17,18)",COc1cccc(n1)NC(CCC(C)CCCC)=O,77.0,0.934673366834171,-0.06755815101129098
6c,"InChI=1S/C14H29NO/c1-6-7-8-12(4)9-10-14(16)15-13(5)11(2)3/h11-13H,6-10H2,1-5H3,(H,15,16)",CC(C)C(NC(=O)CCC(C)CCCC)C,56.400000000000006,0.41708542713567864,-0.8744642169278939
6d,"InChI=1S/C20H31NO3/c1-6-7-8-15(2)9-14-18(22)21-17-12-10-16(11-13-17)19(23)24-20(3,4)5/h10-13,15H,6-9,14H2,1-5H3,(H,21,22)",CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)CCC(C)CCCC,102.80000000000001,1.5829145728643221,0.459267814101141
6e,"InChI=1S/C18H29NO2/c1-3-4-8-16(2)11-12-18(20)19-13-14-21-15-17-9-6-5-7-10-17/h5-7,9-10,16H,3-4,8,11-15H2,1-2H3,(H,19,20)",c1cc(ccc1)COCCNC(=O)CCC(CCCC)C,98.0,1.462311557788945,0.3800184424470003
6f,"InChI=1S/C20H27NO/c1-3-4-8-16(2)13-14-20(22)21-15-18-11-7-10-17-9-5-6-12-19(17)18/h5-7,9-12,16H,3-4,8,13-15H2,1-2H3,(H,21,22)",C(c1cccc2ccccc12)NC(=O)CCC(C)CCCC,158.60000000000002,2.9849246231155786,1.0935744946381527
6g,"InChI=1S/C21H27NO2/c1-3-4-8-17(2)11-16-21(23)22-18-12-14-20(15-13-18)24-19-9-6-5-7-10-19/h5-7,9-10,12-15,17H,3-4,8,11,16H2,1-2H3,(H,22,23)",c1cc(ccc1NC(=O)CCC(CCCC)C)Oc1ccccc1,179.20000000000002,3.5025125628140716,1.2534805860360319
6h,"InChI=1S/C14H21FN2O/c1-3-4-5-11(2)6-9-14(18)17-12-7-8-13(15)16-10-12/h7-8,10-11H,3-6,9H2,1-2H3,(H,17,18)",n1c(ccc(NC(CCC(C)CCCC)=O)c1)F,80.60000000000001,1.025125628140704,0.024815169119724426
7a,"InChI=1S/C16H16Cl2N2O/c1-9(2)11-5-4-10(3)13(8-11)19-16(21)12-6-7-14(17)20-15(12)18/h4-9H,1-3H3,(H,19,21)",CC(C)c1ccc(C)c(NC(c2ccc(nc2Cl)Cl)=O)c1,174.8,3.391959798994975,1.2214078661480374
7b,"InChI=1S/C12H9Cl2N3O2/c1-19-10-4-2-3-9(16-10)17-12(18)7-5-6-8(13)15-11(7)14/h2-6H,1H3,(H,16,17,18)",c1(C(Nc2nc(ccc2)OC)=O)ccc(Cl)nc1Cl,180.8,3.542713567839196,1.2648929780877762
7c,"InChI=1S/C11H14Cl2N2O/c1-6(2)7(3)14-11(16)8-4-5-9(12)15-10(8)13/h4-7H,1-3H3,(H,14,16)",CC(C)C(C)NC(=O)c1c(nc(cc1)Cl)Cl,88.0,1.2110552763819098,0.1914921087661628
7d,"InChI=1S/C17H16Cl2N2O3/c1-17(2,3)24-16(23)10-4-6-11(7-5-10)20-15(22)12-8-9-13(18)21-14(12)19/h4-9H,1-3H3,(H,20,22)",CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)c1ccc(nc1Cl)Cl,224.4,4.6381909547738704,1.53432440977836
